dayDate,ageGroup,avgIsolatedAmount7Days
2022-03-01T00:00:00.000Z,0-4,421
2022-03-01T00:00:00.000Z,5-11,590
2022-03-01T00:00:00.000Z,12-15,479
2022-03-01T00:00:00.000Z,16-19,645
2022-03-02T00:00:00.000Z,0-4,430
2022-03-02T00:00:00.000Z,5-11,602
2022-03-02T00:00:00.000Z,12-15,494
2022-03-02T00:00:00.000Z,16-19,643
2022-03-03T00:00:00.000Z,0-4,442
2022-03-03T00:00:00.000Z,5-11,634
2022-03-03T00:00:00.000Z,12-15,503
2022-03-03T00:00:00.000Z,16-19,642
2022-03-04T00:00:00.000Z,0-4,450
2022-03-04T00:00:00.000Z,5-11,639
2022-03-04T00:00:00.000Z,12-15,500
2022-03-04T00:00:00.000Z,16-19,655
2022-03-05T00:00:00.000Z,0-4,444
2022-03-05T00:00:00.000Z,5-11,639
2022-03-05T00:00:00.000Z,12-15,493
2022-03-05T00:00:00.000Z,16-19,650
2022-03-06T00:00:00.000Z,0-4,449
2022-03-06T00:00:00.000Z,5-11,624
2022-03-06T00:00:00.000Z,12-15,470
2022-03-06T00:00:00.000Z,16-19,654
2022-03-07T00:00:00.000Z,0-4,414
2022-03-07T00:00:00.000Z,5-11,571
2022-03-07T00:00:00.000Z,12-15,418
2022-03-07T00:00:00.000Z,16-19,617
2022-03-08T00:00:00.000Z,0-4,398
2022-03-08T00:00:00.000Z,5-11,557
2022-03-08T00:00:00.000Z,12-15,421
2022-03-08T00:00:00.000Z,16-19,618
2022-03-09T00:00:00.000Z,0-4,407
2022-03-09T00:00:00.000Z,5-11,572
2022-03-09T00:00:00.000Z,12-15,426
2022-03-09T00:00:00.000Z,16-19,639
2022-03-10T00:00:00.000Z,0-4,403
2022-03-10T00:00:00.000Z,5-11,554
2022-03-10T00:00:00.000Z,12-15,432
2022-03-10T00:00:00.000Z,16-19,640
2022-03-11T00:00:00.000Z,0-4,394
2022-03-11T00:00:00.000Z,5-11,535
2022-03-11T00:00:00.000Z,12-15,432
2022-03-11T00:00:00.000Z,16-19,626
2022-03-12T00:00:00.000Z,0-4,393
2022-03-12T00:00:00.000Z,5-11,522
2022-03-12T00:00:00.000Z,12-15,430
2022-03-12T00:00:00.000Z,16-19,624
2022-03-13T00:00:00.000Z,0-4,372
2022-03-13T00:00:00.000Z,5-11,496
2022-03-13T00:00:00.000Z,12-15,420
2022-03-13T00:00:00.000Z,16-19,604
2022-03-14T00:00:00.000Z,0-4,374
2022-03-14T00:00:00.000Z,5-11,462
2022-03-14T00:00:00.000Z,12-15,415
2022-03-14T00:00:00.000Z,16-19,580
2022-03-15T00:00:00.000Z,0-4,363
2022-03-15T00:00:00.000Z,5-11,418
2022-03-15T00:00:00.000Z,12-15,392
2022-03-15T00:00:00.000Z,16-19,546
2022-03-16T00:00:00.000Z,0-4,354
2022-03-16T00:00:00.000Z,5-11,378
2022-03-16T00:00:00.000Z,12-15,371
2022-03-16T00:00:00.000Z,16-19,513
2022-03-17T00:00:00.000Z,0-4,330
2022-03-17T00:00:00.000Z,5-11,354
2022-03-17T00:00:00.000Z,12-15,358
2022-03-17T00:00:00.000Z,16-19,512
2022-03-18T00:00:00.000Z,0-4,326
2022-03-18T00:00:00.000Z,5-11,360
2022-03-18T00:00:00.000Z,12-15,370
2022-03-18T00:00:00.000Z,16-19,531
2022-03-19T00:00:00.000Z,0-4,326
2022-03-19T00:00:00.000Z,5-11,390
2022-03-19T00:00:00.000Z,12-15,422
2022-03-19T00:00:00.000Z,16-19,568
2022-03-20T00:00:00.000Z,0-4,325
2022-03-20T00:00:00.000Z,5-11,443
2022-03-20T00:00:00.000Z,12-15,511
2022-03-20T00:00:00.000Z,16-19,623
2022-03-21T00:00:00.000Z,0-4,316
2022-03-21T00:00:00.000Z,5-11,476
2022-03-21T00:00:00.000Z,12-15,557
2022-03-21T00:00:00.000Z,16-19,658
2022-03-22T00:00:00.000Z,0-4,310
2022-03-22T00:00:00.000Z,5-11,500
2022-03-22T00:00:00.000Z,12-15,601
2022-03-22T00:00:00.000Z,16-19,658
2022-03-23T00:00:00.000Z,0-4,309
2022-03-23T00:00:00.000Z,5-11,515
2022-03-23T00:00:00.000Z,12-15,608
2022-03-23T00:00:00.000Z,16-19,646
2022-03-24T00:00:00.000Z,0-4,322
2022-03-24T00:00:00.000Z,5-11,529
2022-03-24T00:00:00.000Z,12-15,612
2022-03-24T00:00:00.000Z,16-19,652
2022-03-25T00:00:00.000Z,0-4,322
2022-03-25T00:00:00.000Z,5-11,525
2022-03-25T00:00:00.000Z,12-15,588
2022-03-25T00:00:00.000Z,16-19,624
2022-03-26T00:00:00.000Z,0-4,332
2022-03-26T00:00:00.000Z,5-11,507
2022-03-26T00:00:00.000Z,12-15,545
2022-03-26T00:00:00.000Z,16-19,589
2022-03-27T00:00:00.000Z,0-4,337
2022-03-27T00:00:00.000Z,5-11,463
2022-03-27T00:00:00.000Z,12-15,458
2022-03-27T00:00:00.000Z,16-19,552
2022-03-28T00:00:00.000Z,0-4,343
2022-03-28T00:00:00.000Z,5-11,441
2022-03-28T00:00:00.000Z,12-15,417
2022-03-28T00:00:00.000Z,16-19,586
2022-03-29T00:00:00.000Z,0-4,350
2022-03-29T00:00:00.000Z,5-11,434
2022-03-29T00:00:00.000Z,12-15,374
2022-03-29T00:00:00.000Z,16-19,595
2022-03-30T00:00:00.000Z,0-4,355
2022-03-30T00:00:00.000Z,5-11,439
2022-03-30T00:00:00.000Z,12-15,378
2022-03-30T00:00:00.000Z,16-19,602
2022-03-31T00:00:00.000Z,0-4,367
2022-03-31T00:00:00.000Z,5-11,460
2022-03-31T00:00:00.000Z,12-15,386
2022-03-31T00:00:00.000Z,16-19,586
2022-04-01T00:00:00.000Z,0-4,385
2022-04-01T00:00:00.000Z,5-11,481
2022-04-01T00:00:00.000Z,12-15,403
2022-04-01T00:00:00.000Z,16-19,583
2022-04-02T00:00:00.000Z,0-4,393
2022-04-02T00:00:00.000Z,5-11,506
2022-04-02T00:00:00.000Z,12-15,412
2022-04-02T00:00:00.000Z,16-19,578
2022-04-03T00:00:00.000Z,0-4,389
2022-04-03T00:00:00.000Z,5-11,526
2022-04-03T00:00:00.000Z,12-15,427
2022-04-03T00:00:00.000Z,16-19,555
2022-04-04T00:00:00.000Z,0-4,397
2022-04-04T00:00:00.000Z,5-11,540
2022-04-04T00:00:00.000Z,12-15,428
2022-04-04T00:00:00.000Z,16-19,487
2022-04-05T00:00:00.000Z,0-4,399
2022-04-05T00:00:00.000Z,5-11,547
2022-04-05T00:00:00.000Z,12-15,438
2022-04-05T00:00:00.000Z,16-19,496
2022-04-06T00:00:00.000Z,0-4,414
2022-04-06T00:00:00.000Z,5-11,578
2022-04-06T00:00:00.000Z,12-15,459
2022-04-06T00:00:00.000Z,16-19,525
2022-04-07T00:00:00.000Z,0-4,413
2022-04-07T00:00:00.000Z,5-11,598
2022-04-07T00:00:00.000Z,12-15,487
2022-04-07T00:00:00.000Z,16-19,572
2022-04-08T00:00:00.000Z,0-4,430
2022-04-08T00:00:00.000Z,5-11,668
2022-04-08T00:00:00.000Z,12-15,542
2022-04-08T00:00:00.000Z,16-19,627
2022-04-09T00:00:00.000Z,0-4,430
2022-04-09T00:00:00.000Z,5-11,712
2022-04-09T00:00:00.000Z,12-15,578
2022-04-09T00:00:00.000Z,16-19,654
2022-04-10T00:00:00.000Z,0-4,444
2022-04-10T00:00:00.000Z,5-11,765
2022-04-10T00:00:00.000Z,12-15,633
2022-04-10T00:00:00.000Z,16-19,711
2022-04-11T00:00:00.000Z,0-4,470
2022-04-11T00:00:00.000Z,5-11,857
2022-04-11T00:00:00.000Z,12-15,731
2022-04-11T00:00:00.000Z,16-19,835
2022-04-12T00:00:00.000Z,0-4,495
2022-04-12T00:00:00.000Z,5-11,960
2022-04-12T00:00:00.000Z,12-15,848
2022-04-12T00:00:00.000Z,16-19,941
2022-04-13T00:00:00.000Z,0-4,529
2022-04-13T00:00:00.000Z,5-11,1098
2022-04-13T00:00:00.000Z,12-15,1020
2022-04-13T00:00:00.000Z,16-19,1077
2022-04-14T00:00:00.000Z,0-4,564
2022-04-14T00:00:00.000Z,5-11,1261
2022-04-14T00:00:00.000Z,12-15,1170
2022-04-14T00:00:00.000Z,16-19,1193
2022-04-15T00:00:00.000Z,0-4,572
2022-04-15T00:00:00.000Z,5-11,1307
2022-04-15T00:00:00.000Z,12-15,1253
2022-04-15T00:00:00.000Z,16-19,1283
2022-04-16T00:00:00.000Z,0-4,572
2022-04-16T00:00:00.000Z,5-11,1307
2022-04-16T00:00:00.000Z,12-15,1274
2022-04-16T00:00:00.000Z,16-19,1297
2022-04-17T00:00:00.000Z,0-4,588
2022-04-17T00:00:00.000Z,5-11,1376
2022-04-17T00:00:00.000Z,12-15,1325
2022-04-17T00:00:00.000Z,16-19,1303
2022-04-18T00:00:00.000Z,0-4,625
2022-04-18T00:00:00.000Z,5-11,1491
2022-04-18T00:00:00.000Z,12-15,1374
2022-04-18T00:00:00.000Z,16-19,1284
2022-04-19T00:00:00.000Z,0-4,689
2022-04-19T00:00:00.000Z,5-11,1635
2022-04-19T00:00:00.000Z,12-15,1429
2022-04-19T00:00:00.000Z,16-19,1279
2022-04-20T00:00:00.000Z,0-4,776
2022-04-20T00:00:00.000Z,5-11,1833
2022-04-20T00:00:00.000Z,12-15,1504
2022-04-20T00:00:00.000Z,16-19,1317
2022-04-21T00:00:00.000Z,0-4,913
2022-04-21T00:00:00.000Z,5-11,2117
2022-04-21T00:00:00.000Z,12-15,1669
2022-04-21T00:00:00.000Z,16-19,1414
2022-04-22T00:00:00.000Z,0-4,989
2022-04-22T00:00:00.000Z,5-11,2282
2022-04-22T00:00:00.000Z,12-15,1725
2022-04-22T00:00:00.000Z,16-19,1400
2022-04-23T00:00:00.000Z,0-4,1101
2022-04-23T00:00:00.000Z,5-11,2531
2022-04-23T00:00:00.000Z,12-15,1900
2022-04-23T00:00:00.000Z,16-19,1523
2022-04-24T00:00:00.000Z,0-4,1312
2022-04-24T00:00:00.000Z,5-11,2880
2022-04-24T00:00:00.000Z,12-15,2120
2022-04-24T00:00:00.000Z,16-19,1703
2022-04-25T00:00:00.000Z,0-4,1446
2022-04-25T00:00:00.000Z,5-11,3046
2022-04-25T00:00:00.000Z,12-15,2222
2022-04-25T00:00:00.000Z,16-19,1833
2022-04-26T00:00:00.000Z,0-4,1518
2022-04-26T00:00:00.000Z,5-11,3035
2022-04-26T00:00:00.000Z,12-15,2229
2022-04-26T00:00:00.000Z,16-19,1954
2022-04-27T00:00:00.000Z,0-4,1553
2022-04-27T00:00:00.000Z,5-11,2857
2022-04-27T00:00:00.000Z,12-15,2080
2022-04-27T00:00:00.000Z,16-19,1962
2022-04-28T00:00:00.000Z,0-4,1568
2022-04-28T00:00:00.000Z,5-11,2576
2022-04-28T00:00:00.000Z,12-15,1836
2022-04-28T00:00:00.000Z,16-19,1876
2022-04-29T00:00:00.000Z,0-4,1580
2022-04-29T00:00:00.000Z,5-11,2417
2022-04-29T00:00:00.000Z,12-15,1716
2022-04-29T00:00:00.000Z,16-19,1844
2022-04-30T00:00:00.000Z,0-4,1501
2022-04-30T00:00:00.000Z,5-11,2182
2022-04-30T00:00:00.000Z,12-15,1526
2022-04-30T00:00:00.000Z,16-19,1724
2022-05-01T00:00:00.000Z,0-4,1357
2022-05-01T00:00:00.000Z,5-11,1762
2022-05-01T00:00:00.000Z,12-15,1231
2022-05-01T00:00:00.000Z,16-19,1549
2022-05-02T00:00:00.000Z,0-4,1324
2022-05-02T00:00:00.000Z,5-11,1453
2022-05-02T00:00:00.000Z,12-15,1022
2022-05-02T00:00:00.000Z,16-19,1487
2022-05-03T00:00:00.000Z,0-4,1266
2022-05-03T00:00:00.000Z,5-11,1284
2022-05-03T00:00:00.000Z,12-15,865
2022-05-03T00:00:00.000Z,16-19,1414
2022-05-04T00:00:00.000Z,0-4,1158
2022-05-04T00:00:00.000Z,5-11,1181
2022-05-04T00:00:00.000Z,12-15,793
2022-05-04T00:00:00.000Z,16-19,1289
2022-05-05T00:00:00.000Z,0-4,1115
2022-05-05T00:00:00.000Z,5-11,1214
2022-05-05T00:00:00.000Z,12-15,812
2022-05-05T00:00:00.000Z,16-19,1232
2022-05-06T00:00:00.000Z,0-4,1176
2022-05-06T00:00:00.000Z,5-11,1392
2022-05-06T00:00:00.000Z,12-15,908
2022-05-06T00:00:00.000Z,16-19,1261
2022-05-07T00:00:00.000Z,0-4,1336
2022-05-07T00:00:00.000Z,5-11,1646
2022-05-07T00:00:00.000Z,12-15,1034
2022-05-07T00:00:00.000Z,16-19,1332
2022-05-08T00:00:00.000Z,0-4,1326
2022-05-08T00:00:00.000Z,5-11,1736
2022-05-08T00:00:00.000Z,12-15,1074
2022-05-08T00:00:00.000Z,16-19,1320
2022-05-09T00:00:00.000Z,0-4,1160
2022-05-09T00:00:00.000Z,5-11,1671
2022-05-09T00:00:00.000Z,12-15,1007
2022-05-09T00:00:00.000Z,16-19,1113
2022-05-10T00:00:00.000Z,0-4,1127
2022-05-10T00:00:00.000Z,5-11,1707
2022-05-10T00:00:00.000Z,12-15,1039
2022-05-10T00:00:00.000Z,16-19,981
2022-05-11T00:00:00.000Z,0-4,1092
2022-05-11T00:00:00.000Z,5-11,1670
2022-05-11T00:00:00.000Z,12-15,1029
2022-05-11T00:00:00.000Z,16-19,918
2022-05-12T00:00:00.000Z,0-4,973
2022-05-12T00:00:00.000Z,5-11,1481
2022-05-12T00:00:00.000Z,12-15,920
2022-05-12T00:00:00.000Z,16-19,809
2022-05-13T00:00:00.000Z,0-4,825
2022-05-13T00:00:00.000Z,5-11,1197
2022-05-13T00:00:00.000Z,12-15,757
2022-05-13T00:00:00.000Z,16-19,691
2022-05-14T00:00:00.000Z,0-4,639
2022-05-14T00:00:00.000Z,5-11,880
2022-05-14T00:00:00.000Z,12-15,578
2022-05-14T00:00:00.000Z,16-19,574
2022-05-15T00:00:00.000Z,0-4,582
2022-05-15T00:00:00.000Z,5-11,747
2022-05-15T00:00:00.000Z,12-15,501
2022-05-15T00:00:00.000Z,16-19,534
2022-05-16T00:00:00.000Z,0-4,587
2022-05-16T00:00:00.000Z,5-11,751
2022-05-16T00:00:00.000Z,12-15,535
2022-05-16T00:00:00.000Z,16-19,592
2022-05-17T00:00:00.000Z,0-4,522
2022-05-17T00:00:00.000Z,5-11,655
2022-05-17T00:00:00.000Z,12-15,486
2022-05-17T00:00:00.000Z,16-19,568
2022-05-18T00:00:00.000Z,0-4,491
2022-05-18T00:00:00.000Z,5-11,603
2022-05-18T00:00:00.000Z,12-15,453
2022-05-18T00:00:00.000Z,16-19,556
2022-05-19T00:00:00.000Z,0-4,465
2022-05-19T00:00:00.000Z,5-11,570
2022-05-19T00:00:00.000Z,12-15,439
2022-05-19T00:00:00.000Z,16-19,554
2022-05-20T00:00:00.000Z,0-4,454
2022-05-20T00:00:00.000Z,5-11,558
2022-05-20T00:00:00.000Z,12-15,426
2022-05-20T00:00:00.000Z,16-19,542
2022-05-21T00:00:00.000Z,0-4,403
2022-05-21T00:00:00.000Z,5-11,496
2022-05-21T00:00:00.000Z,12-15,388
2022-05-21T00:00:00.000Z,16-19,502
2022-05-22T00:00:00.000Z,0-4,315
2022-05-22T00:00:00.000Z,5-11,385
2022-05-22T00:00:00.000Z,12-15,318
2022-05-22T00:00:00.000Z,16-19,414
2022-05-23T00:00:00.000Z,0-4,248
2022-05-23T00:00:00.000Z,5-11,299
2022-05-23T00:00:00.000Z,12-15,239
2022-05-23T00:00:00.000Z,16-19,311
2022-05-24T00:00:00.000Z,0-4,187
2022-05-24T00:00:00.000Z,5-11,223
2022-05-24T00:00:00.000Z,12-15,175
2022-05-24T00:00:00.000Z,16-19,227
2022-05-25T00:00:00.000Z,0-4,131
2022-05-25T00:00:00.000Z,5-11,159
2022-05-25T00:00:00.000Z,12-15,116
2022-05-25T00:00:00.000Z,16-19,148
2022-05-26T00:00:00.000Z,0-4,66
2022-05-26T00:00:00.000Z,5-11,75
2022-05-26T00:00:00.000Z,12-15,54
2022-05-26T00:00:00.000Z,16-19,61
2022-05-27T00:00:00.000Z,0-4,2
2022-05-27T00:00:00.000Z,5-11,3
2022-05-27T00:00:00.000Z,12-15,1
2022-05-27T00:00:00.000Z,16-19,3
2022-05-28T00:00:00.000Z,0-4,0
2022-05-28T00:00:00.000Z,5-11,1
2022-05-28T00:00:00.000Z,12-15,0
2022-05-28T00:00:00.000Z,16-19,0
2022-05-29T00:00:00.000Z,0-4,0
2022-05-29T00:00:00.000Z,5-11,0
2022-05-29T00:00:00.000Z,12-15,0
2022-05-29T00:00:00.000Z,16-19,0
2022-05-30T00:00:00.000Z,0-4,0
2022-05-30T00:00:00.000Z,5-11,0
2022-05-30T00:00:00.000Z,12-15,0
2022-05-30T00:00:00.000Z,16-19,0
2022-05-31T00:00:00.000Z,0-4,0
2022-05-31T00:00:00.000Z,5-11,0
2022-05-31T00:00:00.000Z,12-15,0
2022-05-31T00:00:00.000Z,16-19,0
2022-06-01T00:00:00.000Z,0-4,0
2022-06-01T00:00:00.000Z,5-11,0
2022-06-01T00:00:00.000Z,12-15,0
2022-06-01T00:00:00.000Z,16-19,0
2022-06-02T00:00:00.000Z,0-4,0
2022-06-02T00:00:00.000Z,5-11,0
2022-06-02T00:00:00.000Z,12-15,0
2022-06-02T00:00:00.000Z,16-19,0
2022-06-03T00:00:00.000Z,0-4,0
2022-06-03T00:00:00.000Z,5-11,0
2022-06-03T00:00:00.000Z,12-15,0
2022-06-03T00:00:00.000Z,16-19,0
2022-06-04T00:00:00.000Z,0-4,0
2022-06-04T00:00:00.000Z,5-11,0
2022-06-04T00:00:00.000Z,12-15,0
2022-06-04T00:00:00.000Z,16-19,0
2022-06-05T00:00:00.000Z,0-4,0
2022-06-05T00:00:00.000Z,5-11,0
2022-06-05T00:00:00.000Z,12-15,0
2022-06-05T00:00:00.000Z,16-19,0
2022-06-06T00:00:00.000Z,0-4,0
2022-06-06T00:00:00.000Z,5-11,0
2022-06-06T00:00:00.000Z,12-15,0
2022-06-06T00:00:00.000Z,16-19,0
2022-06-07T00:00:00.000Z,0-4,0
2022-06-07T00:00:00.000Z,5-11,0
2022-06-07T00:00:00.000Z,12-15,0
2022-06-07T00:00:00.000Z,16-19,0
2022-06-08T00:00:00.000Z,0-4,0
2022-06-08T00:00:00.000Z,5-11,0
2022-06-08T00:00:00.000Z,12-15,0
2022-06-08T00:00:00.000Z,16-19,0
2022-06-09T00:00:00.000Z,0-4,0
2022-06-09T00:00:00.000Z,5-11,0
2022-06-09T00:00:00.000Z,12-15,0
2022-06-09T00:00:00.000Z,16-19,0
2022-06-10T00:00:00.000Z,0-4,0
2022-06-10T00:00:00.000Z,5-11,0
2022-06-10T00:00:00.000Z,12-15,0
2022-06-10T00:00:00.000Z,16-19,0
2022-06-11T00:00:00.000Z,0-4,0
2022-06-11T00:00:00.000Z,5-11,0
2022-06-11T00:00:00.000Z,12-15,0
2022-06-11T00:00:00.000Z,16-19,0
2022-06-12T00:00:00.000Z,0-4,0
2022-06-12T00:00:00.000Z,5-11,0
2022-06-12T00:00:00.000Z,12-15,0
2022-06-12T00:00:00.000Z,16-19,0
2022-06-13T00:00:00.000Z,0-4,0
2022-06-13T00:00:00.000Z,5-11,0
2022-06-13T00:00:00.000Z,12-15,0
2022-06-13T00:00:00.000Z,16-19,0
2022-06-14T00:00:00.000Z,0-4,0
2022-06-14T00:00:00.000Z,5-11,0
2022-06-14T00:00:00.000Z,12-15,0
2022-06-14T00:00:00.000Z,16-19,0
2022-06-15T00:00:00.000Z,0-4,0
2022-06-15T00:00:00.000Z,5-11,0
2022-06-15T00:00:00.000Z,12-15,0
2022-06-15T00:00:00.000Z,16-19,0
2022-06-16T00:00:00.000Z,0-4,0
2022-06-16T00:00:00.000Z,5-11,0
2022-06-16T00:00:00.000Z,12-15,0
2022-06-16T00:00:00.000Z,16-19,0
2022-06-17T00:00:00.000Z,0-4,0
2022-06-17T00:00:00.000Z,5-11,0
2022-06-17T00:00:00.000Z,12-15,0
2022-06-17T00:00:00.000Z,16-19,0
2022-06-18T00:00:00.000Z,0-4,0
2022-06-18T00:00:00.000Z,5-11,0
2022-06-18T00:00:00.000Z,12-15,0
2022-06-18T00:00:00.000Z,16-19,0
2022-06-19T00:00:00.000Z,0-4,0
2022-06-19T00:00:00.000Z,5-11,0
2022-06-19T00:00:00.000Z,12-15,0
2022-06-19T00:00:00.000Z,16-19,0
2022-06-20T00:00:00.000Z,0-4,0
2022-06-20T00:00:00.000Z,5-11,0
2022-06-20T00:00:00.000Z,12-15,0
2022-06-20T00:00:00.000Z,16-19,0
2022-06-21T00:00:00.000Z,0-4,0
2022-06-21T00:00:00.000Z,5-11,0
2022-06-21T00:00:00.000Z,12-15,0
2022-06-21T00:00:00.000Z,16-19,0
2022-06-22T00:00:00.000Z,0-4,0
2022-06-22T00:00:00.000Z,5-11,0
2022-06-22T00:00:00.000Z,12-15,0
2022-06-22T00:00:00.000Z,16-19,0
2022-06-23T00:00:00.000Z,0-4,0
2022-06-23T00:00:00.000Z,5-11,0
2022-06-23T00:00:00.000Z,12-15,0
2022-06-23T00:00:00.000Z,16-19,0
2022-06-24T00:00:00.000Z,0-4,0
2022-06-24T00:00:00.000Z,5-11,0
2022-06-24T00:00:00.000Z,12-15,0
2022-06-24T00:00:00.000Z,16-19,0
2022-06-25T00:00:00.000Z,0-4,0
2022-06-25T00:00:00.000Z,5-11,0
2022-06-25T00:00:00.000Z,12-15,0
2022-06-25T00:00:00.000Z,16-19,0
2022-06-26T00:00:00.000Z,0-4,0
2022-06-26T00:00:00.000Z,5-11,0
2022-06-26T00:00:00.000Z,12-15,0
2022-06-26T00:00:00.000Z,16-19,0
2022-06-27T00:00:00.000Z,0-4,0
2022-06-27T00:00:00.000Z,5-11,0
2022-06-27T00:00:00.000Z,12-15,0
2022-06-27T00:00:00.000Z,16-19,0
2022-06-28T00:00:00.000Z,0-4,0
2022-06-28T00:00:00.000Z,5-11,0
2022-06-28T00:00:00.000Z,12-15,0
2022-06-28T00:00:00.000Z,16-19,0
2022-06-29T00:00:00.000Z,0-4,0
2022-06-29T00:00:00.000Z,5-11,0
2022-06-29T00:00:00.000Z,12-15,0
2022-06-29T00:00:00.000Z,16-19,0
2022-06-30T00:00:00.000Z,0-4,0
2022-06-30T00:00:00.000Z,5-11,0
2022-06-30T00:00:00.000Z,12-15,0
2022-06-30T00:00:00.000Z,16-19,0
2022-07-01T00:00:00.000Z,0-4,0
2022-07-01T00:00:00.000Z,5-11,0
2022-07-01T00:00:00.000Z,12-15,0
2022-07-01T00:00:00.000Z,16-19,0
2022-07-02T00:00:00.000Z,0-4,0
2022-07-02T00:00:00.000Z,5-11,0
2022-07-02T00:00:00.000Z,12-15,0
2022-07-02T00:00:00.000Z,16-19,0
2022-07-03T00:00:00.000Z,0-4,0
2022-07-03T00:00:00.000Z,5-11,0
2022-07-03T00:00:00.000Z,12-15,0
2022-07-03T00:00:00.000Z,16-19,0
2022-07-04T00:00:00.000Z,0-4,0
2022-07-04T00:00:00.000Z,5-11,0
2022-07-04T00:00:00.000Z,12-15,0
2022-07-04T00:00:00.000Z,16-19,0
2022-07-05T00:00:00.000Z,0-4,0
2022-07-05T00:00:00.000Z,5-11,0
2022-07-05T00:00:00.000Z,12-15,0
2022-07-05T00:00:00.000Z,16-19,0
2022-07-06T00:00:00.000Z,0-4,0
2022-07-06T00:00:00.000Z,5-11,0
2022-07-06T00:00:00.000Z,12-15,0
2022-07-06T00:00:00.000Z,16-19,0
2022-07-07T00:00:00.000Z,0-4,0
2022-07-07T00:00:00.000Z,5-11,0
2022-07-07T00:00:00.000Z,12-15,0
2022-07-07T00:00:00.000Z,16-19,0
2022-07-08T00:00:00.000Z,0-4,0
2022-07-08T00:00:00.000Z,5-11,0
2022-07-08T00:00:00.000Z,12-15,0
2022-07-08T00:00:00.000Z,16-19,0
2022-07-09T00:00:00.000Z,0-4,0
2022-07-09T00:00:00.000Z,5-11,0
2022-07-09T00:00:00.000Z,12-15,0
2022-07-09T00:00:00.000Z,16-19,0
2022-07-10T00:00:00.000Z,0-4,0
2022-07-10T00:00:00.000Z,5-11,0
2022-07-10T00:00:00.000Z,12-15,0
2022-07-10T00:00:00.000Z,16-19,0
2022-07-11T00:00:00.000Z,0-4,0
2022-07-11T00:00:00.000Z,5-11,0
2022-07-11T00:00:00.000Z,12-15,0
2022-07-11T00:00:00.000Z,16-19,0
2022-07-12T00:00:00.000Z,0-4,0
2022-07-12T00:00:00.000Z,5-11,0
2022-07-12T00:00:00.000Z,12-15,0
2022-07-12T00:00:00.000Z,16-19,0
2022-07-13T00:00:00.000Z,0-4,0
2022-07-13T00:00:00.000Z,5-11,0
2022-07-13T00:00:00.000Z,12-15,0
2022-07-13T00:00:00.000Z,16-19,0
2022-07-14T00:00:00.000Z,0-4,0
2022-07-14T00:00:00.000Z,5-11,0
2022-07-14T00:00:00.000Z,12-15,0
2022-07-14T00:00:00.000Z,16-19,0
2022-07-15T00:00:00.000Z,0-4,0
2022-07-15T00:00:00.000Z,5-11,0
2022-07-15T00:00:00.000Z,12-15,0
2022-07-15T00:00:00.000Z,16-19,0
2022-07-16T00:00:00.000Z,0-4,0
2022-07-16T00:00:00.000Z,5-11,0
2022-07-16T00:00:00.000Z,12-15,0
2022-07-16T00:00:00.000Z,16-19,0
2022-07-17T00:00:00.000Z,0-4,0
2022-07-17T00:00:00.000Z,5-11,0
2022-07-17T00:00:00.000Z,12-15,0
2022-07-17T00:00:00.000Z,16-19,0
2022-07-18T00:00:00.000Z,0-4,0
2022-07-18T00:00:00.000Z,5-11,0
2022-07-18T00:00:00.000Z,12-15,0
2022-07-18T00:00:00.000Z,16-19,0
2022-07-19T00:00:00.000Z,0-4,0
2022-07-19T00:00:00.000Z,5-11,0
2022-07-19T00:00:00.000Z,12-15,0
2022-07-19T00:00:00.000Z,16-19,0
2022-07-20T00:00:00.000Z,0-4,0
2022-07-20T00:00:00.000Z,5-11,0
2022-07-20T00:00:00.000Z,12-15,0
2022-07-20T00:00:00.000Z,16-19,0
2022-07-21T00:00:00.000Z,0-4,0
2022-07-21T00:00:00.000Z,5-11,0
2022-07-21T00:00:00.000Z,12-15,0
2022-07-21T00:00:00.000Z,16-19,0
2022-07-22T00:00:00.000Z,0-4,0
2022-07-22T00:00:00.000Z,5-11,0
2022-07-22T00:00:00.000Z,12-15,0
2022-07-22T00:00:00.000Z,16-19,0
2022-07-23T00:00:00.000Z,0-4,0
2022-07-23T00:00:00.000Z,5-11,0
2022-07-23T00:00:00.000Z,12-15,0
2022-07-23T00:00:00.000Z,16-19,0
2022-07-24T00:00:00.000Z,0-4,0
2022-07-24T00:00:00.000Z,5-11,0
2022-07-24T00:00:00.000Z,12-15,0
2022-07-24T00:00:00.000Z,16-19,0
2022-07-25T00:00:00.000Z,0-4,0
2022-07-25T00:00:00.000Z,5-11,0
2022-07-25T00:00:00.000Z,12-15,0
2022-07-25T00:00:00.000Z,16-19,0
2022-07-26T00:00:00.000Z,0-4,0
2022-07-26T00:00:00.000Z,5-11,0
2022-07-26T00:00:00.000Z,12-15,0
2022-07-26T00:00:00.000Z,16-19,0
2022-07-27T00:00:00.000Z,0-4,0
2022-07-27T00:00:00.000Z,5-11,0
2022-07-27T00:00:00.000Z,12-15,0
2022-07-27T00:00:00.000Z,16-19,0
2022-07-28T00:00:00.000Z,0-4,0
2022-07-28T00:00:00.000Z,5-11,0
2022-07-28T00:00:00.000Z,12-15,0
2022-07-28T00:00:00.000Z,16-19,0
2022-07-29T00:00:00.000Z,0-4,0
2022-07-29T00:00:00.000Z,5-11,0
2022-07-29T00:00:00.000Z,12-15,0
